date,hour,Num_Crashes,day
2020-07-02,0,0,Thursday
2020-07-02,1,0,Thursday
2020-07-02,2,0,Thursday
2020-07-02,3,0,Thursday
2020-07-02,4,0,Thursday
2020-07-02,5,0,Thursday
2020-07-02,6,1,Thursday
2020-07-02,7,1,Thursday
2020-07-02,8,1,Thursday
2020-07-02,9,3,Thursday
2020-07-02,10,2,Thursday
2020-07-02,11,1,Thursday
2020-07-02,12,2,Thursday
2020-07-02,13,2,Thursday
2020-07-02,14,3,Thursday
2020-07-02,15,1,Thursday
2020-07-02,16,2,Thursday
2020-07-02,17,3,Thursday
2020-07-02,18,3,Thursday
2020-07-02,19,3,Thursday
2020-07-02,20,1,Thursday
2020-07-02,21,3,Thursday
2020-07-02,22,1,Thursday
2020-07-02,23,3,Thursday
2020-07-03,0,1,Friday
2020-07-03,1,0,Friday
2020-07-03,2,0,Friday
2020-07-03,3,0,Friday
2020-07-03,4,0,Friday
2020-07-03,5,0,Friday
2020-07-03,6,1,Friday
2020-07-03,7,2,Friday
2020-07-03,8,1,Friday
2020-07-03,9,1,Friday
2020-07-03,10,0,Friday
2020-07-03,11,2,Friday
2020-07-03,12,3,Friday
2020-07-03,13,1,Friday
2020-07-03,14,3,Friday
2020-07-03,15,2,Friday
2020-07-03,16,1,Friday
2020-07-03,17,3,Friday
2020-07-03,18,1,Friday
2020-07-03,19,1,Friday
2020-07-03,20,0,Friday
2020-07-03,21,1,Friday
2020-07-03,22,1,Friday
2020-07-03,23,1,Friday
2020-07-06,0,0,Monday
2020-07-06,1,0,Monday
2020-07-06,2,0,Monday
2020-07-06,3,2,Monday
2020-07-06,4,0,Monday
2020-07-06,5,0,Monday
2020-07-06,6,0,Monday
2020-07-06,7,0,Monday
2020-07-06,8,1,Monday
2020-07-06,9,2,Monday
2020-07-06,10,0,Monday
2020-07-06,11,2,Monday
2020-07-06,12,0,Monday
2020-07-06,13,0,Monday
2020-07-06,14,3,Monday
2020-07-06,15,1,Monday
2020-07-06,16,1,Monday
2020-07-06,17,1,Monday
2020-07-06,18,0,Monday
2020-07-06,19,0,Monday
